song_title,published_date,channel,language,duration_in_seconds,views_count,likes_count,video_url
Fear Song | Devara Part - 1 | NTR | Koratala Siva | Anirudh Ravichander | 10 Oct 2024,19-05-2024,T-Series Telugu,te,197,26101194,524715,https://youtu.be/CKpbdCciELk
Achacho - Video Song | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,07-05-2024,Think Music India,ta,193,17951163,234690,https://youtu.be/ijBxe70sd8M
Dekhha Tenu | Mr. & Mrs. Mahi | Rajkummar Rao| Janhvi Kapoor | Mohd. Faiz | Jaani | Aadesh S| Sameer,15-05-2024,Sony Music India,en,191,28328016,447608,https://youtu.be/rMfugUZD2dA
Illuminati (Music Video) | Sushin Shyam | Dabzee | Vinayak Sasikumar | Think Originals,09-05-2024,Think Music India,ml,216,10221422,268125,https://youtu.be/yH7eDWTH5iM
Amman Song - Video | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,13-05-2024,Think Music India,ta,266,2975484,41782,https://youtu.be/sVdWgzTMexQ
EMIWAY BANTAI  - INDEPENDENT | (PROD BY - TOKYO) | OFFICIAL MUSIC VIDEO,18-05-2024,Emiway Bantai,en-GB,229,1216833,174033,https://youtu.be/nktFZocWpi8
Indian 2 - Paaraa Lyric Video | Kamal Haasan | Shankar | Anirudh | Subaskaran | Lyca,22-05-2024,Sony Music South,en-IN,262,644217,72693,https://youtu.be/s4MvQWsEAs8
K For Kalyanam - Video Song | Guruvayoorambala Nadayil | Prithviraj | Basil | Anaswara | Ankit Menon,14-05-2024,Saregama Malayalam,ml,240,2139127,19780,https://youtu.be/wupHz8BTSm8
PUSHPA PUSHPA (Telugu Lyrical) Pushpa 2 The Rule | Allu Arjun | Sukumar |Rashmika| Chandrabose | DSP,01-05-2024,T-Series Telugu,te,260,36100193,896376,https://youtu.be/EdvydlHCViY
RAULE | (Official Video) | Gulab Sidhu | PS Chauhan | N Vee | Latest Punjabi Song  | 5911 Records,15-05-2024,5911 Records,pa,191,2862704,193990,https://youtu.be/BMX2QRcRAEY
Ego Killer – Dhanda Nyoliwala (Music Video) | Deepesh Goyal | VYRL Haryanvi,09-05-2024,VYRL Haryanvi,hi,200,3919496,75097,https://youtu.be/PTjOWm3p5XM
Saade Pind (Official  Video) | Khan Bhaini | Raj Shoker l Sycostyle | New Punjabi Song 2024,09-05-2024,Khan Bhaini,en,284,4040602,107299,https://youtu.be/f2udDNfbXI8
Armadham | Aavesham | Jithu Madhavan |Fahadh Faasil | Sushin Shyam | Vinayak| Nazriya| Anwar Rasheed,29-04-2024,Think Music India,ml,187,12075168,149366,https://youtu.be/HkvVaj_28C8
Dhandho - Munawar x Spectra | Official Music Video | Sez On The Beat,09-05-2024,Munawar Faruqui,en-IN,176,3584100,348930,https://youtu.be/FG0GT-XnkPw
Agar Ho Tum | Mr. & Mrs. Mahi | Rajkummar Rao| Janhvi Kapoor | Tanishk B.| Jubin N.| Kausar M.,20-05-2024,Sony Music India,en,207,13169933,212256,https://youtu.be/m4TQ-pIg5g4
Jaat Ni Honde (Official Video) KP Kundu | Bintu Pabra | New Haryanvi Songs Haryanavi 2024,18-05-2024,Nav Haryanvi,hi,258,1928022,62352,https://youtu.be/Vo-xp5CqIbA
Laara - Nirvair Pannu (Official Video) Deol Harman | Juke Dock,07-05-2024,Juke Dock,en,138,3317195,37436,https://youtu.be/KrwHAle-wec
Maa (Official Music Video) | R Nait | Young Army | Punjabi Song 2024,10-05-2024,R Nait,pa,218,2543089,77050,https://youtu.be/mM3RdciQ98E
New Punjabi Songs 2024 - Muqaddar ( Full Video ) Gulab Sidhu | Fateh Shergill | Diamond | Music Tym,09-05-2024,Music Tym,Not Given,168,5839406,33116,https://youtu.be/xn_wrM7afbU
Je Jatt Vigarh Gya | Lehmber Hussainpuri | Jai Randhhawa | Dr Zeus | Deep Sehgal,07-05-2024,Speed Records,pa,149,4381106,39185,https://youtu.be/ihizti5eRts
Ishq Vishk Pyaar Vyaar | Ishq Vishk Rebound | Rohit Saraf| Pashmina|Jibraan|Naila|Rochak| Sonu Nigam,21-05-2024,Tips Official,hi,158,8230845,11684,https://youtu.be/DMIM4Rrsap0
RM 'Come back to me' Official MV,10-05-2024,HYBE LABELS,en,342,12267866,1982317,https://youtu.be/NrfikKxF4Ps
Qatil Surma | Himmat Sandhu | Harman Brar | New Punjabi Song 2024 | Latest Punjabi Song 2024,14-05-2024,Speed Records,pa,194,1673563,18062,https://youtu.be/SHgYYAfbqDQ
ଲାଲ୍ ଟହ ଟହ | Lal Taha Taha | Full Song | Odia Song | Pabar | Mantu | Aseema | Babushaan | Elina,10-05-2024,Amara Muzik Odia,or,273,1103816,42419,https://youtu.be/UY4XeMmHi88
SNAP (Official Music Video) Cheema Y | Gurlez Akhtar | Gur Sidhu | New Punjabi Song,11-05-2024,Brown Town Music,pa,167,6270004,100898,https://youtu.be/m-lwVG1Kax8
Goin Off (Official Video) Karan Aujla | Mxrci | Latest Punjabi Songs 2024,09-05-2024,Rehaan Records,pa,163,18370093,363847,https://youtu.be/pLQw0DbubdM
Pallakilo Puttadi Bomma | Full Song | 2024 Love Failure | Vedha Ponnam | Madeen Sk | Djshiva Vangoor,10-05-2024,Djshiva Vangoor,en,358,561108,19111,https://youtu.be/QG8_YAvv8qc
കുട്ടിയും തൻസീറും പൊളിച്ചു 😁 രണ്ടാമത് കുഞ്ഞ് ഉണ്ടായപ്പോൾ 👉Bappante ponnalle | Thanseer Koothuparamba,13-05-2024,Taalboys Vision,ml,505,314480,5144,https://youtu.be/jjcQ_1sLGwg
Jo Jo - Video Song | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,29-04-2024,Think Music India,ta,213,6785760,54597,https://youtu.be/91nOLIsG-7M
K For Krishna 1.5 X - Lyrical | Guruvayoorambala Nadayil | Prithviraj | Basil | Ankit Menon,21-05-2024,Saregama Malayalam,ml,198,222769,11427,https://youtu.be/iptmAM2k7PQ
